color,x,y,z,a,b,c,d,e,f,g,h,i,part
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795
8,0.0,-8.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3031
7,0.0,0.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795
7,0.0,-8.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3710
8,0.0,-8.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3031
7,0.0,-8.0,80.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3032
7,0.0,-16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795
8,0.0,-32.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3001
0,0.0,-32.0,150.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3937
7,-30.0,-32.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,43710
7,30.0,-32.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,43711
0,-30.0,-32.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3937
0,30.0,-32.0,80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3937
7,30.0,-32.0,110.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3040b
7,-30.0,-32.0,110.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3040b
7,30.0,-32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43710
7,-30.0,-32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43711
7,-30.0,-32.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3040b
7,30.0,-32.0,50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3040b
7,30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4592
7,-30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4592
0,30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4593
0,-30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4593
7,36.757355,-28.899498,80.0,0.0,-0.707107,-0.707107,0.0,0.707107,-0.707107,1.0,0.0,0.0,3938
7,-36.722736,-28.622414,80.0,0.0,0.707107,0.707107,0.0,0.707107,-0.707107,-1.0,0.0,0.0,3938
7,0.0,-31.498062,154.407455,-1.0,0.0,0.0,0.0,0.898794,-0.438371,0.0,-0.438371,-0.898794,3938
7,0.0,-40.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3298
320,0.0,-24.0,-50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b
320,0.0,-24.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b
320,0.0,-24.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b
7,30.0,-40.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023
7,-30.0,-40.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023
7,0.0,-40.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3020
7,0.0,-29.920996,175.890366,0.0,0.0,-1.0,0.438371,0.898794,0.0,0.898794,-0.438371,0.0,3021
320,0.0,-40.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b
320,0.0,-40.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b
7,-10.0,-38.688408,157.914474,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,54200
7,10.0,-38.688408,157.914474,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,54200
7,10.828417,-36.234596,181.194885,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,4592
0,10.828417,-35.326233,180.728683,1.0,0.0,0.0,0.0,0.325568,0.945518,0.0,-0.945518,0.325568,4593
7,-9.171583,-36.234596,181.194885,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,4592
0,-9.171583,-35.326233,180.728683,1.0,0.0,0.0,0.0,0.325568,0.945518,0.0,-0.945518,0.325568,4593
