color,x,y,z,a,b,c,d,e,f,g,h,i,part
14,0.0,0.0,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895
15,0.0,-88.0,-40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895
71,0.0,-14.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895
71,0.0,-14.0,-110.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895
14,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
0,0.0,-24.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30414
0,-30.0,0.0,70.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666
0,30.0,0.0,70.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666
72,-20.0,-24.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485
72,20.0,-24.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485
0,30.0,-24.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3005
0,-30.0,-24.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3005
14,0.0,-32.0,100.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3021
4,0.0,-40.0,90.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3022
71,0.0,-48.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28964
15,40.0,-56.0,90.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,18974
15,-40.0,-56.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,18974
19,0.0,-8.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
0,0.0,0.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3032
72,-20.0,-24.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485
72,20.0,-24.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485
4,0.0,-32.0,-60.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,11215
15,-30.0,-8.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2420
15,30.0,-8.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2420
1,30.0,-16.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2420
1,-30.0,-16.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2420
15,-40.0,-8.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
15,40.0,-8.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
71,0.0,-16.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,64799
0,-50.0,-16.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b
0,50.0,-16.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b
0,-50.0,-16.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2431
0,50.0,-16.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2431
15,0.0,-24.0,40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023
15,0.0,-24.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023
19,0.0,-32.0,40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023
19,0.0,-32.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023
0,30.0,-24.0,30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,99207
0,-30.0,-24.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,99207
0,-30.0,-24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b
0,30.0,-24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b
0,30.0,-24.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,99207
0,-30.0,-24.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,99207
0,-30.0,-24.0,-60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3024
0,30.0,-24.0,-60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3024
70,-30.0,-32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32124
70,30.0,-32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32124
70,-30.0,-56.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3040b
70,30.0,-56.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3040b
19,-10.0,-64.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6091
19,10.0,-64.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6091
4,0.0,-56.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3022
0,0.0,-40.0,120.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3710
0,0.0,-14.0,154.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,30414
71,0.0,-14.0,162.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,32028
15,-30.0,-14.0,170.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,6091
15,-30.0,-14.0,170.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,75895
15,30.0,-14.0,170.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,6091
15,30.0,-14.0,170.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,75895
