color,x,y,z,a,b,c,d,e,f,g,h,i,part
72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2419
272,-40.0,-8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3068b
272,40.0,-8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3068b
71,-10.0,-8.0,20.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,63864
71,10.0,-8.0,20.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,63864
0,-40.0,0.0,40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,63868
0,40.0,0.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,63868
71,-40.0,8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2654
71,40.0,8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2654
71,0.0,16.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30055
71,0.0,10.0,60.0,1.0,0.0,0.0,0.0,0.819152,0.573576,0.0,-0.573576,0.819152,30055
71,70.0,2.0,40.0,0.258819,-0.965926,0.0,0.965926,0.258819,0.0,0.0,0.0,1.0,30055
71,-72.0,2.0,40.0,-0.258819,0.965926,0.0,-0.965926,-0.258819,0.0,0.0,0.0,1.0,30055
71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2654
272,0.0,-8.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
71,0.0,-8.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2540
43,-10.0,-16.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6141
43,10.0,-16.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6141
0,0.0,-38.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30377
0,0.0,-38.0,12.0,1.0,0.0,0.0,0.0,0.819152,-0.573576,0.0,0.573576,0.819152,30055
72,0.0,-2.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,60478
72,0.0,-2.0,-20.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200
272,0.0,-18.0,-60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50950
0,-20.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,48336
272,-20.0,-10.0,-40.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3710
72,-20.0,-18.0,20.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,61678
272,-20.0,-2.0,-80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3023
72,-20.0,-18.0,-100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,61678
71,-20.0,-18.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2412b
71,0.0,0.0,0.0,0.866025,-0.5,0.0,0.5,0.866025,0.0,0.0,0.0,1.0,30055
0,20.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,60470a
272,20.0,-10.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3710
72,20.0,-18.0,20.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,61678
272,20.0,-2.0,-80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3023
72,20.0,-18.0,-100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,61678
71,20.0,-18.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2412b
