color,x,y,z,a,b,c,d,e,f,g,h,i,part
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20021
71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3022
0,-10.0,-48.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,88292
0,10.0,-48.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,88292
72,0.0,-8.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
36,0.0,-32.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
72,-10.0,-32.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,87087
72,10.0,-32.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,87087
71,0.0,-40.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3022
71,0.0,-48.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3022
72,10.0,-72.0,-10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,87087
72,10.0,-72.0,10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,87087
72,10.0,-72.0,30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,87087
72,-10.0,-72.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,87087
72,-10.0,-72.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,87087
72,-10.0,-72.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,87087
288,-10.0,-72.0,50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4287
288,10.0,-72.0,50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4287
288,0.0,-52.0,-28.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,20021
288,28.0,-32.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,20021
288,-28.0,-32.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20021
72,20.0,-62.0,40.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,61409
72,-20.0,-62.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,61409
72,0.0,-80.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20021
288,-10.0,-96.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50950
288,10.0,-96.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50950
288,0.0,-96.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20021
288,-10.0,-104.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2431
288,10.0,-104.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2431
0,0.0,8.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3839b
0,120.0,-86.0,60.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,20021
0,-120.0,-86.0,60.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,20021
71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3022
40,-10.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200
40,10.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200
288,-10.0,-16.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50950
288,10.0,-16.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50950
288,0.0,0.0,20.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,48183
72,-10.0,0.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2420
72,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3068b
288,10.0,-16.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,50950
288,0.0,0.0,20.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,48183
72,10.0,0.0,-10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2420
72,0.0,-8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3068b
288,-10.0,-16.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,50950
72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3034
14,0.0,-8.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
71,-10.0,-8.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4081b
71,10.0,-8.0,10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4081b
288,-10.0,-8.0,80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666
288,10.0,-8.0,80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666
14,0.0,-16.0,60.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3795
72,0.0,-16.0,-50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
36,0.0,0.0,130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023
71,30.0,-6.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,59900
71,-30.0,-6.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,59900
72,0.0,-24.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3068b
72,0.0,-24.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3068b
72,-10.0,-24.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2555
72,10.0,-24.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2555
288,-10.0,-8.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200
288,10.0,-8.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200
0,14.0,-30.0,70.0,0.0,-1.0,0.0,-0.707107,0.0,0.707107,-0.707107,0.0,-0.707107,60849
0,-14.0,-30.0,70.0,0.0,1.0,0.0,0.707107,0.0,0.707107,0.707107,0.0,-0.707107,60849
71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3795
72,80.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2444
72,-80.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2444
72,-60.0,8.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2654
72,60.0,8.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2654
0,100.0,10.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2780
0,-100.0,10.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2780
288,-60.0,-8.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2431
288,60.0,-8.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2431
72,60.0,-8.0,-20.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,41769
72,-60.0,-8.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,41770
14,0.0,46.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,4032b
72,0.0,94.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,3942c
46,0.0,102.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,6141
0,0.0,50.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3705
